,stepsize,psnr,ssim
0,0.1,37.62523926463225,96.9411138499324
1,0.325,37.753946922664994,96.57817916123159
2,0.55,37.75432898801744,96.57696541179946
3,0.775,37.75432910292307,96.57696504662559
4,1.0,37.75432910292317,96.57696504662532
