,lam,stepsize,psnr,ssim
0,0.1,0.1,30.50076521155767,73.83326871643487
1,0.3111111111111111,0.1,30.57618843240628,72.65350176709954
2,0.5222222222222223,0.1,30.584766035500195,72.58638811139244
3,0.7333333333333333,0.1,30.587079805295758,72.54191085736821
4,0.9444444444444444,0.1,30.582473964253836,72.40557935234298
5,1.1555555555555557,0.1,27.02787094375452,62.519465576220774
6,1.3666666666666667,0.1,23.199304320737667,51.42804745531801
7,1.577777777777778,0.1,16.86647849764074,34.08486157601019
8,1.788888888888889,0.1,15.476824537688907,29.827305488283194
9,2.0,0.1,13.09127660580602,23.081907743775233
10,0.1,0.325,30.58310989365093,72.57137208507406
11,0.3111111111111111,0.325,30.56531907194568,72.05907587426769
12,0.5222222222222223,0.325,18.214904766862254,37.30506787254435
13,0.7333333333333333,0.325,5.0230062745848345,0.3788135065630489
14,0.9444444444444444,0.325,4.984582334463993,0.38812957458932873
15,1.1555555555555557,0.325,4.926443417120185,0.3583587242695174
16,1.3666666666666667,0.325,4.771085107339258,0.3115209926169727
17,1.577777777777778,0.325,4.636521867784607,0.2942766926843012
18,1.788888888888889,0.325,4.556203180602381,0.26964044939129805
19,2.0,0.325,4.506366721488922,0.2558872377732688
20,0.1,0.55,30.592656667437893,72.58685886220458
21,0.3111111111111111,0.55,24.39189139179724,53.53298184100358
22,0.5222222222222223,0.55,4.969539717209051,0.3778505458559643
23,0.7333333333333333,0.55,4.884833154983365,0.3574049158276613
24,0.9444444444444444,0.55,4.626105618651471,0.2991382017211358
25,1.1555555555555557,0.55,4.497455193766628,0.26724062219526545
26,1.3666666666666667,0.55,4.455855030151677,0.26296944899608793
27,1.577777777777778,0.55,4.408617728548973,0.25745695680473235
28,1.788888888888889,0.55,4.405962674215878,0.2561797052350523
29,2.0,0.55,4.387821795068926,0.2630922375150592
30,0.1,0.775,30.60222834943241,72.62690144266648
31,0.3111111111111111,0.775,27.790513737537367,61.43483525878122
32,0.5222222222222223,0.775,4.927557213704917,0.35479614785769564
33,0.7333333333333333,0.775,4.555534418910331,0.26497973132628916
34,0.9444444444444444,0.775,4.478533309210804,0.2851772479732463
35,1.1555555555555557,0.775,4.398916486156099,0.2589340523258973
36,1.3666666666666667,0.775,4.398758305539064,0.2784592478371776
37,1.577777777777778,0.775,4.38001505765453,0.24270580801517222
38,1.788888888888889,0.775,4.3868925566529615,0.3111829298267019
39,2.0,0.775,4.37850835180324,0.36499645093625543
40,0.1,1.0,30.612618675418965,72.66070351377888
41,0.3111111111111111,1.0,30.64266415340618,72.56897576543074
42,0.5222222222222223,1.0,30.00009558853484,67.00172383335753
43,0.7333333333333333,1.0,25.90490847358098,44.01702130959044
44,0.9444444444444444,1.0,4.917994909157175,0.6138971998208765
45,1.1555555555555557,1.0,4.898985924329591,0.9295874509537618
46,1.3666666666666667,1.0,4.71346546040622,0.6601433130752264
47,1.577777777777778,1.0,4.745418518991549,0.8507261174714081
