,lam,stepsize,psnr,ssim,
0,0.1,0.1,25.1151051620546,67.3138007894989,BEST
1,0.311111111111111,0.1,25.043123596767,67.0951355526712,
2,0.522222222222222,0.1,24.835419862992,65.9815929927774,
3,0.733333333333333,0.1,24.3741909883741,63.4053226551369,
4,0.944444444444444,0.1,23.7212880121963,59.4223062339149,
5,1.15555555555556,0.1,22.9739474607752,56.1405933187072,
6,1.36666666666667,0.1,22.0422688176043,51.7220014245467,
7,1.57777777777778,0.1,21.1724505125045,47.6249403903726,
8,1.78888888888889,0.1,20.022706862243,42.6590934885578,
9,2,0.1,19.2748590655971,39.5696293880655,
10,0.1,0.325,25.0169713170707,67.1091400790928,
11,0.311111111111111,0.325,23.2476466261595,57.6583400665003,
12,0.522222222222222,0.325,20.2706683544931,43.9118792448731,
13,0.733333333333333,0.325,17.0768462696969,31.0374928840431,
14,0.944444444444444,0.325,14.152503264396,20.8645102086791,
15,1.15555555555556,0.325,9.84626056847993,10.0103163435488,
16,1.36666666666667,0.325,7.57270956436581,5.25946857003254,
17,1.57777777777778,0.325,6.67405571817463,2.81448505925612,
18,1.78888888888889,0.325,6.47119029648716,2.69187102707661,
19,2,0.325,6.37215804512709,2.36092087834079,
20,0.1,0.55,24.7257393800411,65.6460376986554,
21,0.311111111111111,0.55,20.3104264782355,44.0612184644126,
22,0.522222222222222,0.55,14.0378281607219,20.8066609929027,
23,0.733333333333333,0.55,8.35708492535547,4.20725523074583,
24,0.944444444444444,0.55,7.40051077429296,2.30409840310505,
25,1.15555555555556,0.55,6.99676959565835,1.93253310413805,
26,1.36666666666667,0.55,6.70788676717153,1.63372836639958,
27,1.57777777777778,0.55,6.52690048458014,1.55021356594333,
28,1.78888888888889,0.55,6.35355522143082,1.22506910537586,
29,2,0.55,6.23892377696406,1.29428487901455,
30,0.1,0.775,24.1335405416478,62.5300298424566,
31,0.311111111111111,0.775,15.82799906382,27.1285181663992,
32,0.522222222222222,0.775,8.28053347116097,3.20396853534804,
33,0.733333333333333,0.775,7.33409972761722,1.93515069576865,
34,0.944444444444444,0.775,6.85995544097168,1.54003369365691,
35,1.15555555555556,0.775,6.57269015805626,1.48279596498644,
36,1.36666666666667,0.775,6.3384889521318,1.23039893085916,
37,1.57777777777778,0.775,6.17990859127362,1.11651264567851,
38,1.78888888888889,0.775,6.0740926600789,1.10127963599492,
39,2,0.775,5.96031709103191,0.879159314956037,
40,0.1,1,23.4842898165861,58.8902625199857,
41,0.311111111111111,1,11.4042190876557,12.0835704951586,
42,0.522222222222222,1,7.62188747651861,2.12161448965174,
43,0.733333333333333,1,6.91647379282246,1.63275351076737,
44,0.944444444444444,1,6.50476841364544,1.38048920333697,
45,1.15555555555556,1,6.25947371758683,1.08881522332535,
46,1.36666666666667,1,6.08083604525867,0.999528278625843,
47,1.57777777777778,1,5.98272972180057,0.853515646826637,
48,1.78888888888889,1,5.87037817422745,0.721370950168226,
49,2,1,5.78411689847376,0.685080856708521,
