,lam,stepsize,psnr,ssim
0,0.1,0.1,26.148823861239215,69.81286573375407
1,0.3111111111111111,0.1,26.297291907299332,69.33598045213685
2,0.5222222222222223,0.1,26.309666821684182,69.18999680378253
3,0.7333333333333333,0.1,26.272251446370454,68.7545206856233
4,0.9444444444444444,0.1,26.12712712317663,68.04048611006394
5,1.1555555555555557,0.1,25.986639302920356,67.03645177807911
6,1.3666666666666667,0.1,25.633417429856088,64.73795170935406
7,1.577777777777778,0.1,25.582320759068402,64.44145110969917
8,1.788888888888889,0.1,25.03903507210088,61.71465476553358
9,2.0,0.1,24.743513732286026,59.85542682986694
10,0.1,0.325,26.150407353245054,68.18640771316694
11,0.3111111111111111,0.325,25.176752683507484,62.827662258364114
12,0.5222222222222223,0.325,23.70460064296896,56.453985665494635
13,0.7333333333333333,0.325,21.312521205485872,47.42523933232659
14,0.9444444444444444,0.325,20.104383840531025,42.21393730325053
15,1.1555555555555557,0.325,19.43758672663041,39.7525165650735
16,1.3666666666666667,0.325,18.982934752370202,37.02472233740007
17,1.577777777777778,0.325,18.05038048438414,33.26975414784637
18,1.788888888888889,0.325,17.188682720118972,30.23924532905415
19,2.0,0.325,16.414678530311413,27.004020172874913
20,0.1,0.55,26.12356874057564,67.75177762081675
21,0.3111111111111111,0.55,23.304475177875755,54.39684037832907
22,0.5222222222222223,0.55,22.46873953867607,50.59784860580784
23,0.7333333333333333,0.55,21.043039879506107,44.17826130167665
24,0.9444444444444444,0.55,19.838882176651904,39.89811829098677
25,1.1555555555555557,0.55,18.452019563573153,34.939457762560025
26,1.3666666666666667,0.55,17.869046763800448,29.61376889901293
27,1.577777777777778,0.55,17.62585806428974,24.693865326006105
28,1.788888888888889,0.55,18.108430270145682,21.282472182781692
29,2.0,0.55,9.21471517114098,3.107103809618936
30,0.1,0.775,25.3712661049831,64.25752298132655
31,0.3111111111111111,0.775,23.120068929115625,52.639605296309
32,0.5222222222222223,0.775,21.117211419866162,44.27038981742235
33,0.7333333333333333,0.775,19.707524239747656,37.10287261847709
34,0.9444444444444444,0.775,18.14954198962408,28.489229257324332
35,1.1555555555555557,0.775,17.854581358297896,23.31391065209954
36,1.3666666666666667,0.775,9.999687555385725,3.82991116421654
37,1.577777777777778,0.775,7.128226352104724,1.4445252023535333
38,1.788888888888889,0.775,6.357021943424143,1.063875599249825
39,2.0,0.775,6.244600211929676,0.9952109515135712
40,0.1,1.0,24.41868102452991,59.41048625308154
41,0.3111111111111111,1.0,21.64300815373226,45.24031149239179
42,0.5222222222222223,1.0,18.953080396471158,32.94138026002174
43,0.7333333333333333,1.0,17.029093669916875,23.36237642714302
44,0.9444444444444444,1.0,18.649275846294067,25.234307984421395
45,1.1555555555555557,1.0,7.55275250278144,1.702290134601013
46,1.3666666666666667,1.0,6.376984478924458,1.0789291040696578
47,1.577777777777778,1.0,6.262064703949855,1.0438100313650955
48,1.788888888888889,1.0,6.442947735962969,1.08516657577536
49,2.0,1.0,5.983859234026985,0.866722044204607
