,x_coord,y_coord
0,0.06825202,0.014657008
1,0.060197864,0.012435346
2,0.09838578,0.029531768
3,0.068902366,0.016038425
4,0.06223035,0.011271614
5,0.067444585,0.015446407
6,0.066838,0.0147151435
7,0.05549263,0.009454343
8,0.0663626,0.01379507
9,0.059055258,0.010457059
10,0.06620572,0.014811034
11,0.073372,0.017753487
12,0.06423324,0.01325591
13,0.06677799,0.01462228
14,0.07420841,0.019276137
15,0.06359372,0.013908264
16,0.07219408,0.01564646
17,0.06939967,0.016271424
18,0.0711257,0.016364407
19,0.05458591,0.010386734
20,0.06835207,0.01542793
21,0.07254558,0.01730482
22,0.08357635,0.021411281
23,0.0735425,0.01760029
24,0.072106645,0.016117422
25,0.060020123,0.012745206
26,0.06496129,0.014055312
27,0.06577022,0.013977341
28,0.07117394,0.016238598
29,0.07212206,0.01788183
30,0.042516515,0.0062481267
31,0.060215164,0.012513655
32,0.08265273,0.02167551
33,0.06754387,0.01711672
34,0.069340125,0.015988939
35,0.070792854,0.015635706
36,0.056370158,0.012491495
37,0.053668108,0.009407981
38,0.07769833,0.01872311
39,0.070142314,0.015734315
40,0.069013186,0.017853739
41,0.16168655,0.06809457
42,0.07126777,0.015994731
43,0.06570601,0.013811653
44,0.058545828,0.011903686
45,0.06933925,0.016898438
46,0.07816427,0.019337373
47,0.06749187,0.015240306
48,0.048077665,0.007775023
49,0.049785927,0.008748762
50,0.07311761,0.017199503
51,0.07151595,0.016279794
52,0.07284589,0.01845279
53,0.057246324,0.012134987
54,0.07259559,0.017944409
55,0.07209955,0.016107243
56,0.067554906,0.01355106
57,0.055362612,0.010628023
58,0.06333776,0.012352613
59,0.07040609,0.015698306
60,0.05931248,0.010709825
61,0.06350372,0.015038895
62,0.05923787,0.011471851
63,0.07383228,0.018283667
64,0.06693543,0.014497481
65,0.056600958,0.010787756
66,0.06615643,0.014184989
67,0.045616165,0.007510785
68,0.063421994,0.013058032
69,0.07050861,0.016851334
70,0.059610806,0.012196907
71,0.06505189,0.014198064
72,0.061486345,0.012734896
73,0.08043463,0.021115378
74,0.08155989,0.021829786
75,0.06800535,0.016021984
76,0.07073742,0.017285725
77,0.07564269,0.017343748
