,lam,psnr,ssim
0,0.1,25.032996592814015,74.33330220261197
1,0.3111111111111111,25.968246821566957,79.41483498425475
2,0.5222222222222223,26.573402286281645,80.76454954152571
3,0.7333333333333333,26.883048857781247,81.32507375894156
4,0.9444444444444444,27.0991882017052,81.78626526747388
5,1.1555555555555557,27.223173320648055,82.08996904124426
6,1.3666666666666667,27.325023508877774,82.4118635701158
7,1.577777777777778,27.398273302708244,82.6277081383975
8,1.788888888888889,27.459268356478574,82.80775129900611
9,2.0,27.51394618140195,83.00113146284743
