,lam,psnr,ssim
0,0.1,26.07306945841521,71.81317426022635
1,0.3111111111111111,26.82683691893506,76.56277958512914
2,0.5222222222222223,27.00648302676865,76.88885198343954
3,0.7333333333333333,27.12129711600304,77.29517129781495
4,0.9444444444444444,27.183958518557784,77.63900924907496
5,1.1555555555555557,27.266932967829344,78.04068273257052
6,1.3666666666666667,27.289670710584616,78.23139265550184
7,1.577777777777778,27.332946281940185,78.44977122617075
8,1.788888888888889,27.39557668220951,78.72414693525607
9,2.0,27.25107186636182,78.31587160921401
