,lam,stepsize,psnr,ssim
0,0.1,0.1,27.209714999302303,73.91176489209053
1,0.3111111111111111,0.1,27.587509576984765,74.12289033798595
2,0.5222222222222223,0.1,27.75730679311646,74.37156100874623
3,0.7333333333333333,0.1,27.865241182528905,74.58022913904401
4,0.9444444444444444,0.1,27.94408634117296,74.75865076543468
5,1.1555555555555557,0.1,28.005890580679214,74.91028156408944
6,1.3666666666666667,0.1,28.05651080693712,75.04664831251377
7,1.577777777777778,0.1,28.099710434428808,75.1698470365013
8,1.788888888888889,0.1,28.137235553242256,75.28710530028562
9,2.0,0.1,28.16979705830102,75.38852491617838
10,0.1,0.325,27.696420392766335,74.402401890101
11,0.3111111111111111,0.325,28.131255779891273,75.2530180662752
12,0.5222222222222223,0.325,28.32961291389206,75.75714209374655
13,0.7333333333333333,0.325,28.458627645192422,76.10668559672202
14,0.9444444444444444,0.325,28.55387724843871,76.38317827807813
15,1.1555555555555557,0.325,28.62872873084396,76.59763347153736
16,1.3666666666666667,0.325,28.689054497274014,76.72630091901895
17,1.577777777777778,0.325,28.738071762392053,76.76248357087032
18,1.788888888888889,0.325,28.780186578177698,76.7157289269184
19,2.0,0.325,28.81560623745341,76.55644646076344
20,0.1,0.55,27.924093142353037,74.82237474515111
21,0.3111111111111111,0.55,28.38263372085866,75.85399086720591
22,0.5222222222222223,0.55,28.59562782935408,76.40840381362781
23,0.7333333333333333,0.55,28.735046571040233,76.77444519638922
24,0.9444444444444444,0.55,28.832649637906236,76.8476040689881
25,1.1555555555555557,0.55,28.90699261492311,76.63021045120034
26,1.3666666666666667,0.55,28.568914231926264,72.9231959198917
27,1.577777777777778,0.55,26.734189935193303,61.52059960658077
28,1.788888888888889,0.55,25.171537056567722,53.12032166740543
29,2.0,0.55,23.824427860235737,44.323988019395856
30,0.1,0.775,28.075378178141058,75.13172179346685
31,0.3111111111111111,0.775,28.550527960062958,76.25649390778773
32,0.5222222222222223,0.775,28.77373716301267,76.81047662513859
33,0.7333333333333333,0.775,28.911289490908995,76.80058981632867
34,0.9444444444444444,0.775,28.8471158429766,74.63746951159489
35,1.1555555555555557,0.775,26.275015752477678,58.59630907141318
36,1.3666666666666667,0.775,24.21955451020587,45.796819222467924
37,1.577777777777778,0.775,15.601351731006181,8.425846460422328
38,1.788888888888889,0.775,9.855202238876737,3.032235143021705
39,2.0,0.775,6.994498783861411,1.7006800552919832
40,0.1,1.0,28.189933660676182,75.38202199970237
41,0.3111111111111111,1.0,28.68010614124979,76.55225448227431
42,0.5222222222222223,1.0,28.906744757015538,76.84177994622365
43,0.7333333333333333,1.0,28.863520106122337,74.28815955741614
44,0.9444444444444444,1.0,23.76641106090883,48.27777503241996
45,1.1555555555555557,1.0,10.427043613535746,3.2200146314951033
46,1.3666666666666667,1.0,4.8409389933448645,0.8242611217179382
47,1.577777777777778,1.0,3.993456523449376,0.4609954551484467
48,1.788888888888889,1.0,3.5934851909635723,0.3289793302109402
49,2.0,1.0,3.4568372202472752,0.24133210255553356
