,lam,stepsize,psnr,ssim
0,0.1,0.1,26.064477118320138,67.25025307222695
1,0.3111111111111111,0.1,26.111033320353254,65.1700226093746
2,0.5222222222222223,0.1,26.040593773041365,63.86064542861423
3,0.7333333333333333,0.1,25.809961925252406,62.12761081042295
4,0.9444444444444444,0.1,25.42410411660457,59.68007300092552
5,1.1555555555555557,0.1,24.957019570685173,56.808541995178985
6,1.3666666666666667,0.1,24.422030078689517,53.14254534979845
7,1.577777777777778,0.1,23.88481584368923,49.81200310116388
8,1.788888888888889,0.1,23.216181157400236,46.06691350272409
9,2.0,0.1,22.57702520852464,42.18522958531771
10,0.1,0.325,26.170865790225736,64.53266811271705
11,0.3111111111111111,0.325,25.0678165989855,57.03852401142245
12,0.5222222222222223,0.325,23.257579497692774,45.257900548615766
13,0.7333333333333333,0.325,21.02989665571667,34.64449293627187
14,0.9444444444444444,0.325,18.753880505867336,25.301234520818035
15,1.1555555555555557,0.325,15.936573966004469,14.669140261573876
16,1.3666666666666667,0.325,11.943097700859562,5.899220757281243
17,1.577777777777778,0.325,10.636401562536163,4.202227528263207
18,1.788888888888889,0.325,9.639012047185801,3.3967599229003698
19,2.0,0.325,8.423604441831534,2.378567408965156
20,0.1,0.55,25.829650585859042,62.06292526223871
21,0.3111111111111111,0.55,23.130222286735965,45.300848356001374
22,0.5222222222222223,0.55,18.799020314221107,26.895979753224488
23,0.7333333333333333,0.55,14.619893752559918,10.869636332047332
24,0.9444444444444444,0.55,10.453325832047508,4.04697876036321
25,1.1555555555555557,0.55,8.309026540371905,2.2928014533430296
26,1.3666666666666667,0.55,8.062730642876208,2.1905715438908158
27,1.577777777777778,0.55,7.891072695401048,1.979312627630491
28,1.788888888888889,0.55,7.393750206111983,1.656871750412321
29,2.0,0.55,6.841111132612065,1.3413617412549386
30,0.1,0.775,25.11431747098772,57.58755436660941
31,0.3111111111111111,0.775,19.430456429545128,29.351189904919504
32,0.5222222222222223,0.775,14.544467254031284,12.89900463287976
33,0.7333333333333333,0.775,9.598259880262864,3.2902327156982194
34,0.9444444444444444,0.775,7.9582100730746435,2.028028159912683
35,1.1555555555555557,0.775,7.800136816966959,1.8811364770737433
36,1.3666666666666667,0.775,7.125670679661712,1.5369727579266457
37,1.577777777777778,0.775,6.51584511069741,1.144555202463176
38,1.788888888888889,0.775,5.967260529791144,0.8598571579568368
39,2.0,0.775,5.218358573557962,0.5190732574643249
40,0.1,1.0,24.01102361480448,50.92571822948467
41,0.3111111111111111,1.0,16.455022888488564,18.767558248918558
42,0.5222222222222223,1.0,10.408821415924837,4.036929921092836
43,0.7333333333333333,1.0,7.898549689346234,2.0235626306092005
44,0.9444444444444444,1.0,7.521469591773527,1.6992581589507083
45,1.1555555555555557,1.0,6.786157999452764,1.2715127160162754
46,1.3666666666666667,1.0,6.08965861428326,0.9096527202882282
47,1.577777777777778,1.0,5.138346528534127,0.4679362576198217
48,1.788888888888889,1.0,4.863092819374571,0.3706179824885657
49,2.0,1.0,4.799807249671149,0.3241697087766915
