,lam,stepsize,psnr,ssim,
0,0.1,0.1,28.6377264660836,82.1106648461476,
1,0.311111111111111,0.1,29.091953824394,82.8851876465886,
2,0.522222222222222,0.1,29.3193040474478,83.2805001790419,
3,0.733333333333333,0.1,29.4727762373667,83.5837313351283,
4,0.944444444444444,0.1,29.5849202984025,83.8330045048263,
5,1.15555555555556,0.1,29.6735966098364,84.0492336259499,
6,1.36666666666667,0.1,29.7472550193696,84.236611569073,
7,1.57777777777778,0.1,29.8087805984628,84.3995236938507,
8,1.78888888888889,0.1,29.8560146590973,84.5392859475395,
9,2,0.1,29.8969410816606,84.6589406013838,
10,0.1,0.325,29.4638782414455,82.9374923770333,
11,0.311111111111111,0.325,30.202439687657,84.0826937233936,
12,0.522222222222222,0.325,30.5381176992714,84.7903030408829,
13,0.733333333333333,0.325,30.7465802514813,85.3120268092624,
14,0.944444444444444,0.325,30.8668587006263,85.604905236568,
15,1.15555555555556,0.325,30.9235204409859,85.7313371525176,
16,1.36666666666667,0.325,30.8436107299577,85.1273522265479,
17,1.57777777777778,0.325,30.6961087268715,84.685304482282,
18,1.78888888888889,0.325,29.9223473483976,81.234251705369,
19,2,0.325,27.6171781977901,70.5412172114044,
20,0.1,0.55,29.932174696736,83.5880394423371,
21,0.311111111111111,0.55,30.7475425731227,85.1496363774894,
22,0.522222222222222,0.55,31.0931987393885,85.9648440369538,
23,0.733333333333333,0.55,31.2230617893907,86.1826151533552,
24,0.944444444444444,0.55,30.7540194613681,84.1168279643284,
25,1.15555555555556,0.55,28.0745056181406,72.0661020657157,
26,1.36666666666667,0.55,25.5217811415617,55.8374583379837,
27,1.57777777777778,0.55,23.4065522601988,41.7060133789596,
28,1.78888888888889,0.55,21.9641780609596,29.8375503650498,
29,2,0.55,19.7874462077878,19.0700222009674,
30,0.1,0.775,30.2555693201665,84.118356769265,
31,0.311111111111111,0.775,31.1304963874689,85.9807490519159,
32,0.522222222222222,0.775,31.4576897201484,86.5466055776095,
33,0.733333333333333,0.775,30.8349849441228,83.1904728515277,
34,0.944444444444444,0.775,25.9026743897724,54.2753591502178,
35,1.15555555555556,0.775,19.8064602023998,30.7142066570904,
36,1.36666666666667,0.775,4.96008921199019,1.91847290531787,
37,1.57777777777778,0.775,4.19797547629505,0.977619699819271,
38,1.78888888888889,0.775,3.60581404541792,0.406841004556512,
39,2,0.775,3.38732884489645,0.287402865481843,
40,0.1,1,30.5111358898678,84.5855826424088,
41,0.311111111111111,1,31.4367662720839,86.5546019256518,BEST
42,0.522222222222222,1,31.4049159397751,85.5845397538158,
43,0.733333333333333,1,25.6299190110443,49.6993819182865,
44,0.944444444444444,1,4.60702911386483,0.88585643008904,
45,1.15555555555556,1,3.89619177898774,0.330283172929078,
46,1.36666666666667,1,3.79678862079283,0.27185664063082,
47,1.57777777777778,1,3.85113730246934,0.317848261968071,
48,1.78888888888889,1,3.84883956901683,0.352345315431352,
49,2,1,3.90969482132815,0.344157276918639,
