,lam,stepsize,psnr,ssim,
0,0.1,0.1,35.0419689990229,93.0001115370115,
1,0.311111111111111,0.1,35.286315173145,93.5627172696819,
2,0.522222222222222,0.1,35.4309348718519,93.7985984592519,
3,0.733333333333333,0.1,35.5325850570862,93.9399292940929,
4,0.944444444444444,0.1,35.60946758128,94.0380678390113,
5,1.15555555555556,0.1,35.6700367490043,94.1122342690946,
6,1.36666666666667,0.1,35.7193935245198,94.1716551903497,
7,1.57777777777778,0.1,35.7599099553552,94.2204099073366,
8,1.78888888888889,0.1,35.7929939238272,94.2611850438227,
9,2,0.1,35.8213381518281,94.2968218854176,
10,0.1,0.325,35.4201638979496,93.5859373270884,
11,0.311111111111111,0.325,35.8639942373795,93.9958731074003,
12,0.522222222222222,0.325,36.0868001163724,94.1517299333005,
13,0.733333333333333,0.325,36.2294293847713,94.2564200910767,
14,0.944444444444444,0.325,36.3297242580339,94.3324153193425,BEST
15,1.15555555555556,0.325,36.3848252976168,94.1117150012891,
16,1.36666666666667,0.325,36.335447264803,92.4455277236943,
17,1.57777777777778,0.325,36.1909842593375,90.0328100913844,
18,1.78888888888889,0.325,35.9734493567403,87.2172347162711,
19,2,0.325,35.7586266538085,83.6574278817011,
20,0.1,0.55,35.6470700917219,93.7909566217843,
21,0.311111111111111,0.55,36.1554503749467,94.1344168478254,
22,0.522222222222222,0.55,36.3910022778584,94.2873012188083,
23,0.733333333333333,0.55,36.4766458553831,93.4740920882587,
24,0.944444444444444,0.55,36.1461867916943,87.5709547060563,
25,1.15555555555556,0.55,35.1042861558656,78.9933892061168,
26,1.36666666666667,0.55,33.6893550999994,72.1500958723906,
27,1.57777777777778,0.55,31.5526614064952,68.1949300527964,
28,1.78888888888889,0.55,30.2498341727137,66.8359460195573,
29,2,0.55,32.1700064427957,67.8904610776529,
30,0.1,0.775,35.8115186935145,93.9000920505564,
31,0.311111111111111,0.775,36.3499135262091,94.2262965382863,
32,0.522222222222222,0.775,36.5153267003686,93.2563705176207,
33,0.733333333333333,0.775,35.770645375058,83.5124118358949,
34,0.944444444444444,0.775,33.6207972064264,72.2774951212738,
35,1.15555555555556,0.775,31.4387521828127,65.3426315701438,
36,1.36666666666667,0.775,25.7285851050829,57.3460162928053,
37,1.57777777777778,0.775,14.3081908288074,50.214464172147,
38,1.78888888888889,0.775,10.6440022477918,33.8617269934786,
39,2,0.775,9.39612810917498,22.5722724379458,
40,0.1,1,35.941175300355,93.9724900301341,
41,0.311111111111111,1,36.4926522030858,94.2873268654694,
42,0.522222222222222,1,36.109253613345,86.5951064948322,
43,0.733333333333333,1,33.5369584533277,71.9437301635824,
44,0.944444444444444,1,29.8430522206641,61.8011121785973,
45,1.15555555555556,1,5.87299982813298,20.8216015720733,
46,1.36666666666667,1,5.57396712026793,2.88304802647991,
47,1.57777777777778,1,5.84097394313837,1.78456815142073,
48,1.78888888888889,1,6.00730751501725,1.39397063041857,
49,2,1,6.00878413282408,1.14801945657418,
